1 719 0 1
2 720 0 1
3 721 720 32
4 722 721 32
5 723 722 32
6 724 723 32
7 725 724 32
8 726 725 32
9 727 726 32
10 728 727 32
11 729 728 32
12 730 729 32
13 731 730 32
14 732 731 32
15 733 732 32
16 734 733 32
17 735 734 32
18 736 735 32
19 737 736 32
20 738 737 32
21 739 738 32
22 740 739 32
23 741 740 32
24 742 741 32
25 743 742 32
26 744 743 32
27 745 744 32
28 746 745 32
29 747 746 32
30 748 747 32
31 749 748 32
32 750 749 32
33 751 750 32
34 752 751 32
35 753 752 32
36 754 753 32
37 755 754 32
38 756 755 32
39 757 756 32
40 758 757 32
41 759 758 32
42 760 759 32
43 761 760 32
44 762 761 32
45 763 762 32
46 764 763 32
47 765 764 32
48 766 765 32
49 767 766 32
50 768 767 32
51 769 768 32
52 770 769 32
53 771 770 32
54 772 771 32
55 773 772 32
56 774 773 32
57 775 774 32
58 776 775 32
59 777 776 32
60 778 777 32
61 779 778 32
62 780 779 32
63 781 780 32
64 782 781 32
65 783 782 32
66 784 783 32
67 785 784 32
68 786 785 32
69 787 786 32
70 788 787 32
71 789 788 32
72 790 789 32
73 791 790 32
74 792 791 32
75 793 792 32
76 794 793 32
77 795 794 32
78 796 795 32
79 797 796 32
80 798 797 32
81 799 798 32
82 800 799 32
83 801 800 32
84 802 801 32
85 803 802 32
86 804 803 32
87 805 804 32
88 806 805 32
89 807 806 32
90 808 807 32
91 809 808 32
92 810 809 32
93 811 810 32
94 812 811 32
95 813 812 32
96 814 813 32
97 815 814 32
98 816 815 32
99 817 816 32
100 818 817 32
101 819 818 32
102 820 819 32
103 821 820 32
104 822 821 32
105 823 822 32
106 824 823 32
107 825 824 32
108 826 825 32
109 827 826 32
110 828 827 32
111 829 828 32
112 830 829 32
113 831 830 32
114 832 831 32
115 833 832 32
116 834 833 32
117 835 834 32
118 836 835 32
119 837 836 32
120 838 837 32
121 839 838 32
122 840 839 32
123 841 840 32
124 842 841 32
125 843 842 32
126 844 843 32
127 845 844 32
128 846 845 32
129 847 846 32
130 848 847 32
131 849 848 32
132 850 849 32
133 851 850 32
134 852 851 32
135 853 852 32
136 854 853 32
137 855 854 32
138 856 855 32
139 857 856 32
140 858 857 32
141 859 858 32
142 860 859 32
143 861 860 32
144 862 861 32
145 863 862 32
146 864 863 32
147 865 864 32
148 866 865 32
149 867 866 32
150 868 867 32
151 869 868 32
152 870 869 32
153 871 870 32
154 872 871 32
155 873 872 32
156 874 873 32
157 875 874 32
158 876 875 32
159 877 876 32
160 878 877 32
161 879 878 32
162 880 879 32
163 880 160 16
