X	Graphic Profile 1
0	168.3079
0.00223104769617	168.3989
0.00446209539231	168.4885
0.0066931430885	168.579
0.00892419078474	168.6657
0.0111552384808	168.7427
0.013386286177	168.8159
0.0156173338732	168.8769
0.0178483815694	168.9222
0.0200794292656	168.9043
0.0223104769617	168.8549
0.0245415246579	168.7844
0.0267725723541	168.6835
0.0290036200502	168.5446
0.0312346677464	168.3537
0.0334657154425	168.1096
0.0356967631387	167.8122
0.0379278108348	167.4405
0.040158858531	166.9935
0.0423899062271	166.4821
0.0446209539233	165.8982
0.0468520016195	165.2753
0.0490830493158	164.6116
0.0513140970118	163.9253
0.0535451447081	163.2213
0.0557761924043	162.5043
0.0580072401004	161.8082
0.0602382877966	161.1206
0.0624693354928	160.4504
0.0647003831889	159.7819
0.0669314308851	159.082
0.0691624785812	158.3539
0.0713935262773	157.5607
0.0736245739736	156.7091
0.0758556216697	155.8009
0.0780866693658	154.8326
0.080317717062	153.8166
0.0825487647582	152.7618
0.0847798124543	151.6708
0.0870108601506	150.5587
0.0892419078467	149.4619
0.0914729555428	148.4152
0.0937040032391	147.4335
0.0959350509353	146.5295
0.0981660986314	145.6096
0.100397146328	144.6508
0.102628194024	143.5427
0.10485924172	142.2077
0.107090289416	140.578
0.109321337112	138.6432
0.111552384808	136.4208
0.113783432505	133.9403
0.116014480201	131.2687
0.118245527897	128.4364
0.120476575593	125.5213
0.122707623289	122.6089
0.124938670985	119.7267
0.127169718682	116.8639
0.129400766378	113.9068
0.131631814074	110.7924
0.13386286177	107.5261
0.136093909466	104.2614
0.138324957162	101.1007
0.140556004859	98.0514
0.142787052555	95.016
0.145018100251	91.9131
0.147249147947	88.7982
0.149480195643	85.6605
0.151711243339	82.5992
0.153942291036	79.595
0.156173338732	76.622
0.158404386428	73.7048
0.160635434124	70.6899
0.16286648182	67.4634
0.165097529516	63.987
0.167328577212	60.1504
0.169559624909	56.2517
0.171790672605	52.4197
0.174021720301	48.6096
0.176252767997	44.8451
0.178483815693	41.4167
0.18071486339	38.2795
0.182945911086	35.2168
0.185176958782	32.0602
0.187408006478	28.3832
0.189639054174	24.2497
0.19187010187	19.9133
0.194101149567	15.4093
0.196332197263	10.3924
0.198563244959	4.7741
0.200794292655	-1.1655
0.203025340351	-6.9518
0.205256388047	-12.4947
0.207487435744	-17.8957
0.20971848344	-23.0081
0.211949531136	-27.7653
0.214180578832	-32.1135
0.216411626528	-36.3084
0.218642674224	-40.5357
0.220873721921	-44.8719
0.223104769617	-49.2403
0.225335817313	-53.4326
0.227566865009	-57.4722
0.229797912705	-61.7737
0.232028960401	-66.4131
0.234260008098	-70.7448
0.236491055794	-74.5004
0.23872210349	-77.8598
0.240953151186	-81.1083
0.243184198882	-84.1549
0.245415246578	-86.6607
0.247646294275	-88.6103
0.249877341971	-90.4714
0.252108389667	-92.6236
0.254339437363	-95.0685
0.256570485059	-97.7301
0.258801532755	-100.3461
0.261032580452	-102.6151
0.263263628148	-104.5391
0.265494675844	-106.2763
0.26772572354	-107.7993
0.269956771236	-109.4382
0.272187818932	-111.4525
0.274418866629	-113.7634
0.276649914325	-116.245
0.278880962021	-118.3463
0.281112009717	-120.0752
0.283343057413	-121.8887
0.285574105109	-123.9017
0.287805152806	-125.9917
0.290036200502	-128.1831
0.292267248198	-130.4831
0.294498295894	-133.01
0.29672934359	-135.5876
0.298960391286	-138.2094
0.301191438983	-140.764
0.303422486679	-143.086
0.305653534375	-145.19
0.307884582071	-147.096
0.310115629767	-148.8987
0.312346677463	-150.5165
0.31457772516	-151.9936
0.316808772856	-153.226
0.319039820552	-154.3041
0.321270868248	-155.3382
0.323501915944	-156.4247
0.32573296364	-157.6693
0.327964011337	-158.9492
0.330195059033	-160.0484
0.332426106729	-160.9312
0.334657154425	-161.68
0.336888202121	-162.3046
0.339119249817	-162.955
0.341350297514	-163.7443
0.34358134521	-164.688
0.345812392906	-165.9338
0.348043440602	-167.3429
0.350274488298	-168.9182
0.352505535994	-170.5798
0.354736583691	-172.0531
0.356967631387	-173.3024
0.359198679083	-174.3804
0.361429726779	-175.3383
0.363660774475	-176.2039
0.365891822171	-177.1727
0.368122869868	-178.519
0.370353917564	-180.0881
0.37258496526	-181.8318
0.374816012956	-183.6725
0.377047060652	-185.7228
0.379278108348	-188.0125
0.381509156045	-190.6414
0.383740203741	-193.7119
0.385971251437	-197.0791
0.388202299133	-200.7282
0.390433346829	-204.6567
0.392664394525	-208.8158
0.394895442222	-213.1084
0.397126489918	-217.6431
0.399357537614	-222.4518
0.40158858531	-227.5318
0.403819633006	-232.8107
0.406050680702	-238.2956

